"","zip","total_SHUT","mean_SHUT","mean_shutoffs_1000p","mean_shutoffs_HH","Prc_W","Prc_Blk","Prc_W_Own","Prc_B_Own","Prc_Hisp_Own","Prc_Utils_Incl","Prc_Rnt","Prc_Own","Prc_NonW","Prc_NonW_Own","log_Prc_NonW","log_NonW_Own","log_shut","log_MHI"
"33",60634,1388,198.285714285714,2.70273661972003,0.00781220428615004,0.78333503053903,0.0154190696132892,0.609339937256527,0.00512224242357036,0.170013613469543,1,0.289128782442191,0.710871217557809,0.21666496946097,0.390660062743473,-1.5294030380483,-0.939917501896423,5.14250853006018,10.9548060577616
"34",60636,6314,902,23.4162830336309,0.0778910079886694,0.024382698899246,0.930292688695704,0.0113749651076316,0.439975332123147,0.0189263634028724,1,0.527605650803815,0.472394349196185,0.975617301100754,0.988625034892368,-0.024684878992003,-0.0114401548487207,6.72548653119945,10.202174174995
"35",60637,2336,333.714285714286,6.91047740468599,0.0177485713574753,0.159126707748183,0.774327038347935,0.0745949079655064,0.162055479040793,0.00567992861957122,1,0.742425316587847,0.257574683412153,0.840873292251817,0.925405092034494,-0.173314293556441,-0.0775237000016907,5.70284221341327,10.2036808819368
"36",60638,1042,148.857142857143,2.62111417160603,0.00753756586440061,0.744783948069109,0.0341779211730775,0.654530646735553,0.0232962419777142,0.234506688346643,1,0.213812109515026,0.786187890484974,0.255216051930891,0.345469353264447,-1.36564483007387,-1.06285134227182,4.89195189955148,11.0429575035102
"37",60639,2689,384.142857142857,4.21109533877214,0.0151363533230989,0.324497384811176,0.153945461074542,0.168542535472283,0.0719377655335389,0.290737978310831,1,0.567745551027753,0.432254448972247,0.675502615188824,0.831457464527717,-0.392298250103332,-0.184575136765599,5.88873271105985,10.5798367705972
"38",60640,206,29.4285714285714,0.450495117481959,0.000863093084736484,0.614735336835119,0.186369898489672,0.257917105780628,0.0134047915162595,0.0181753890301158,1,0.686500790387389,0.313499209612611,0.385264663164881,0.742082894219372,-0.953824744078893,-0.298294324777885,-Inf,10.7701730454042
"39",60641,1134,162,2.26675572055719,0.00662582809883046,0.631003647930034,0.0248164497089046,0.36870653823198,0.00446737524945989,0.181073080798866,1,0.505398007585116,0.494601992414884,0.368996352069966,0.63129346176802,-0.996968520979728,-0.459984450437066,4.91828796701317,10.8212655700663
"40",60642,162,23.1428571428571,1.22892882779939,0.0025606280241299,0.7258735068204,0.105069815072963,0.307362499563604,0.0046481692327151,0.060596882963289,1,0.630704035168503,0.369295964831497,0.2741264931796,0.692637500436396,-1.29416562518332,-0.36724850404354,2.89773701338945,11.2292450097609
"41",60643,4591,655.857142857143,12.8847620877318,0.0367887355297909,0.237767231069926,0.730222730498952,0.213919862589797,0.5251608557326,0.0178582339985296,1,0.243385659921477,0.756614340078523,0.762232768930074,0.786080137410204,-0.271503298905427,-0.240696535757464,6.30097967630951,11.0128031021131
"42",60644,3346,478,9.89177793440145,0.0297844190684402,0.03388978068321,0.937497633647736,0.0150256350006903,0.251770708520141,0.0134865851267803,1,0.724502969359007,0.275497030640993,0.96611021931679,0.98497436499931,-0.0344773526067522,-0.0151396635301258,6.10206202051188,10.1918517486407
"43",60645,303,43.2857142857143,0.935783768072173,0.00275855354261913,0.579113607608509,0.171688541595207,0.379715743156214,0.0357552206718875,0.0433353872994326,1,0.495640401030382,0.504359598969618,0.420886392391491,0.620284256843787,-0.865392333517988,-0.477577427231981,-Inf,10.7949915932256
"44",60646,292,41.7142857142857,1.4837957727258,0.00390638620836469,0.831786434430544,0.0104529075765109,0.651028609205228,0.00489848717937984,0.0461882851005196,1,0.267072302433765,0.732927697566235,0.168213565569456,0.348971390794772,-1.7825208832718,-1.05276533493991,3.23082864648712,11.2369354753409
"45",60647,1534,219.142857142857,2.50367377551525,0.0064279063219569,0.766412851771715,0.0662470029497123,0.311030202523158,0.00756466231319849,0.128630424783337,1,0.627384743170827,0.372615256829173,0.233587148228285,0.688969797476842,-1.45420004568755,-0.37255784423139,5.19741500442001,10.9322725777407
"46",60649,2350,335.714285714286,7.44936974049039,0.0160701921802716,0.0274557410343484,0.937715755826904,0.0118991673252701,0.212471306938364,0.00393812923921378,1,0.767227072661207,0.232772927338793,0.972544258965652,0.98810083267473,-0.0278396940205812,-0.0119705290786808,5.68858413810275,10.2303861013436
"47",60651,4182,597.428571428571,9.64799452419305,0.0311488610958227,0.139276888689159,0.614071443009722,0.071596999096619,0.265513957492421,0.120340900522304,1,0.586784667129716,0.413215332870284,0.860723111310841,0.928403000903381,-0.149982415926038,-0.074289372248237,6.284316897733,10.3898888039394
"48",60652,2378,339.714285714286,7.92406198994668,0.0258264556781604,0.283309388779574,0.482112619850669,0.280322370327674,0.41213136104971,0.224520366824074,1,0.166994958249633,0.833005041750367,0.716690611220426,0.719677629672326,-0.333111036081428,-0.328951903802195,5.66636836243503,11.0795691654119
"49",60653,855,122.142857142857,3.92613745675919,0.00886170984152658,0.0508925090051228,0.915195010929428,0.0279386946397653,0.20918459774118,0.00867806921462801,1,0.752113960403418,0.247886039596582,0.949107490994877,0.972061305360235,-0.0522332191417445,-0.0283364051523463,-Inf,10.1642046193014
"50",60654,51,8.5,0.553977934962783,0.000820412449440047,0.779227387527301,0.0476873482264546,0.321042005215727,0.0139721667465114,0.018847508927911,1,0.605564346591347,0.394435653408653,0.220772612472699,0.678957994784273,-1.51062200998674,-0.387196016688644,1.70996040274225,11.4160926204168
"51",60655,623,89,3.12541552046716,0.00886412334303217,0.893749015041982,0.0703141463804881,0.829530274579623,0.0392115273077364,0.0346424170452416,1,0.120463038062091,0.879536961937909,0.106250984958018,0.170469725420377,-2.24195120102747,-1.76919756154168,4.36129777604341,11.3874430117695
"52",60656,166,23.7142857142857,0.852231553251201,0.00203557224252146,0.848673349443293,0.0089204182215789,0.6013120279105,0,0.0595952728725559,1,0.34071407590209,0.65928592409791,0.151326650556707,0.3986879720895,-1.88831452990086,-0.919576192871555,-Inf,10.9423808327278
"53",60657,160,22.8571428571429,0.333546764872049,0.000619865257451508,0.867670033488592,0.0270399210078147,0.33411339999005,0.00417322430557985,0.0132577962828919,1,0.625602220663079,0.374397779336921,0.132329966511408,0.66588660000995,-2.02245672926599,-0.406635893194703,-Inf,11.2858538388269
"54",60659,309,44.1428571428571,1.12176086024052,0.00353534277223251,0.533181110075192,0.0700812514627357,0.313073978512166,0.0157460887024615,0.0599540659687895,1,0.551268256209777,0.448731743790223,0.466818889924808,0.686926021487834,-0.761813912540151,-0.375528675981886,-Inf,10.8029658279912
"55",60660,137,19.5714285714286,0.471516757527359,0.000947700705074898,0.651091688653328,0.153005389739927,0.298447098619163,0.0283522137709421,0.0378199328348887,1,0.621873111105606,0.378126888894394,0.348908311346672,0.701552901380837,-1.05294610950056,-0.354458970478477,-Inf,10.6195970537668
"56",60661,29,4.83333333333333,0.635045961664273,0.000978533855377622,0.660242868029539,0.063478088793207,0.301356086097678,0.0124682389176361,0.021825926124743,1,0.648398723009923,0.351601276990077,0.339757131970461,0.698643913902322,-1.07952423435234,-0.358614088719098,1.29552894674709,11.4743694192148
"57",60707,424,60.5714285714286,1.41046723679863,0.00388884722511804,0.720678531705319,0.0811950031979032,0.542929624925988,0.0450521709492788,0.14163549360702,1,0.328722572814753,0.671277427185247,0.279321468294681,0.457070375074012,-1.27539194434233,-0.782917906346328,4.00289899573548,10.9214101575679
"58",60827,380,54.2857142857143,1.89797969617083,0.005278489873531,0.0613286128585356,0.913589011021966,0.0571761400092278,0.369096925979335,0.0204349838063166,1,0.566594897476092,0.433405102523908,0.938671387141464,0.942823859990772,-0.0632898214700462,-0.0588758006557805,3.85831075691346,10.4059126704408
